| Name              | AP         | Recall@K   | B.Accuracy | N_Pos  | N_Neg  |
| hardwood          | 0.8880     | 0.8000     | 0.8855     | 40     | 173    |
| iron              | 0.7276     | 0.6282     | 0.7586     | 78     | 469    |
| khaki             | 0.7539     | 0.6957     | 0.7418     | 23     | 64     |
| leather           | 0.8543     | 0.7910     | 0.8051     | 67     | 284    |
| marble            | 0.7038     | 0.5556     | 0.7581     | 45     | 352    |
| metal             | 0.8572     | 0.7920     | 0.8265     | 822    | 2019   |
| muddy             | 0.4170     | 0.3265     | 0.6435     | 49     | 420    |
| paper             | 0.8403     | 0.7952     | 0.8365     | 83     | 290    |
| pebbled           | 0.6049     | 0.2143     | 0.6071     | 14     | 136    |
| plastic           | 0.7510     | 0.7185     | 0.7731     | 270    | 1288   |
| plush             | 0.5469     | 0.2273     | 0.6081     | 22     | 91     |
| porcelain         | 0.8157     | 0.7541     | 0.7897     | 61     | 151    |
| red brick         | 0.8735     | 0.8065     | 0.8972     | 31     | 250    |
| rocky             | 0.6328     | 0.6395     | 0.7762     | 86     | 759    |
| rubber            | 0.8309     | 0.7917     | 0.8227     | 24     | 141    |
| sandy             | 0.8673     | 0.7632     | 0.8613     | 114    | 651    |
| silk              | 0.8803     | 0.9474     | 0.9331     | 19     | 37     |
| snowy             | 0.8926     | 0.8176     | 0.8674     | 170    | 871    |
| stainless steel   | 0.7884     | 0.8302     | 0.8385     | 53     | 427    |
| steel             | 0.8486     | 0.7015     | 0.7950     | 134    | 764    |
| stone             | 0.7970     | 0.7006     | 0.7755     | 324    | 897    |
| straw             | 0.6652     | 0.5000     | 0.7425     | 18     | 399    |
| stucco            | 0.3774     | 0.1250     | 0.5000     | 8      | 252    |
| styrofoam         | 0.3591     | 0.5714     | 0.7703     | 7      | 195    |
| tiled             | 0.8918     | 0.8099     | 0.8562     | 142    | 370    |
| wicker            | 0.8796     | 0.8478     | 0.8720     | 46     | 233    |
| wooden            | 0.9026     | 0.8807     | 0.8795     | 905    | 1967   |
| wool              | 0.7748     | 0.9231     | 0.9210     | 13     | 74     |
| water             | 0.8235     | 0.6774     | 0.7646     | 124    | 185    |
| arch shaped       | 0.9127     | 0.7925     | 0.8561     | 106    | 282    |
| arrow shaped      | 0.3994     | 0.3750     | 0.5759     | 16     | 56     |
| bell shaped       | 0.6955     | 0.5000     | 0.8285     | 4      | 43     |
| circular          | 0.7250     | 0.6034     | 0.7295     | 116    | 464    |
| conical           | 0.6733     | 0.4737     | 0.7054     | 38     | 137    |
| cubed             | 0.1102     | 0.0000     | 0.4833     | 8      | 60     |
| curved            | 0.7059     | 0.6598     | 0.7490     | 244    | 595    |
| curled            | 0.7416     | 0.7455     | 0.7170     | 55     | 76     |
| curly             | 0.8299     | 0.5085     | 0.7494     | 59     | 92     |
| cylindrical       | 0.7551     | 0.7089     | 0.7714     | 79     | 164    |
| diamond shaped    | 0.7452     | 0.6667     | 0.8021     | 15     | 96     |
| domed             | 0.4985     | 0.3214     | 0.5801     | 28     | 74     |
| heart shaped      | 0.3886     | 0.3333     | 0.6578     | 9      | 225    |
| octagonal         | 0.8123     | 0.7778     | 0.8523     | 27     | 164    |
| oval shaped       | 0.7050     | 0.5312     | 0.7364     | 32     | 220    |
| pointy            | 0.8682     | 0.7627     | 0.8104     | 177    | 263    |
| rectangular       | 0.8119     | 0.7372     | 0.7684     | 274    | 434    |
| round             | 0.8624     | 0.8014     | 0.8138     | 569    | 773    |
| rounded           | 0.9749     | 0.8708     | 0.8734     | 596    | 177    |
| spherical         | 0.8839     | 0.8438     | 0.8634     | 64     | 129    |
| spiky             | 0.6727     | 0.5484     | 0.7292     | 31     | 118    |
| spiral            | 0.2294     | 0.1429     | 0.5000     | 7      | 70     |
| square            | 0.6984     | 0.6478     | 0.7223     | 247    | 535    |
